epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,181.568,0.64101,0.48085,0.87875,0.89805,0.97241,0.98174,0.66339,1.12895,0.67336,1.0002,0.0015941,0.0015941,0.0015941
43,185.118,0.65144,0.48205,0.8712,0.90024,0.89655,0.96671,0.66119,1.0445,0.67687,0.97101,0.0015842,0.0015842,0.0015842
44,189.697,0.69033,0.498,0.87371,0.83012,0.96897,0.95941,0.6865,1.0685,0.67627,0.93822,0.0015743,0.0015743,0.0015743
45,194.685,0.68343,0.49391,0.87863,0.91031,0.92586,0.96787,0.70365,1.0414,0.65274,0.92475,0.0015644,0.0015644,0.0015644
46,198.208,0.69682,0.49481,0.87338,0.92853,0.96326,0.98372,0.75443,0.8864,0.63128,0.94166,0.0015545,0.0015545,0.0015545
47,201.545,0.72033,0.50929,0.88819,0.95973,0.94499,0.98766,0.70681,1.02106,0.65431,0.9357,0.0015446,0.0015446,0.0015446
48,205.324,0.78003,0.52921,0.8847,0.90577,0.88103,0.96872,0.7325,0.90057,0.66184,0.9446,0.0015347,0.0015347,0.0015347
49,210.541,0.75085,0.52332,0.87314,0.84777,0.95172,0.96906,0.65033,1.11476,0.66944,0.93268,0.0015248,0.0015248,0.0015248
50,214.607,0.70041,0.51322,0.8687,0.94266,0.97241,0.98433,0.69314,0.97033,0.62812,0.91148,0.0015149,0.0015149,0.0015149
51,217.941,0.66645,0.49313,0.87185,0.95871,0.92241,0.97821,0.74785,0.90182,0.60906,0.91336,0.001505,0.001505,0.001505
52,221.244,0.67238,0.48149,0.8694,0.94932,0.96207,0.98417,0.66342,1.16876,0.66197,0.96217,0.0014951,0.0014951,0.0014951
53,225.538,0.66645,0.47602,0.86728,0.92427,0.94655,0.97526,0.74973,0.85951,0.6494,0.93113,0.0014852,0.0014852,0.0014852
54,231.104,0.66799,0.48303,0.87579,0.94263,0.96325,0.98352,0.72804,0.92469,0.61341,0.93282,0.0014753,0.0014753,0.0014753
55,234.443,0.64769,0.48754,0.87676,0.97847,0.97069,0.98511,0.66336,1.13638,0.61882,0.94264,0.0014654,0.0014654,0.0014654
56,237.864,0.65469,0.4837,0.86938,0.93517,0.95,0.98691,0.71632,0.90524,0.60632,0.92561,0.0014555,0.0014555,0.0014555
57,241.318,0.64449,0.47483,0.86732,0.93492,0.91644,0.98084,0.7226,0.92618,0.64296,0.95556,0.0014456,0.0014456,0.0014456
58,246.122,0.67713,0.4791,0.86474,0.9143,0.90345,0.97247,0.70671,0.99506,0.7183,1.00086,0.0014357,0.0014357,0.0014357
59,250.365,0.68536,0.48893,0.88095,0.95807,0.90613,0.9836,0.67524,1.13917,0.66727,0.96408,0.0014258,0.0014258,0.0014258
60,253.812,0.6582,0.47729,0.86604,0.98703,0.97931,0.99319,0.74561,0.94409,0.55259,0.91085,0.0014159,0.0014159,0.0014159
61,257.177,0.62492,0.45082,0.85807,0.93996,0.97759,0.9863,0.71336,0.98728,0.58458,0.92495,0.001406,0.001406,0.001406
62,261.295,0.61309,0.44804,0.86288,0.9157,0.97931,0.98326,0.70175,1.06557,0.63044,0.92744,0.0013961,0.0013961,0.0013961
63,266.515,0.60783,0.44707,0.86586,0.92551,0.95517,0.98526,0.72394,0.97539,0.57643,0.91111,0.0013862,0.0013862,0.0013862
64,269.948,0.60464,0.44063,0.85702,0.96608,0.98225,0.99097,0.72948,0.96216,0.55609,0.90058,0.0013763,0.0013763,0.0013763
65,273.092,0.60516,0.44733,0.8589,0.97144,0.98276,0.98985,0.71821,0.9935,0.59046,0.92654,0.0013664,0.0013664,0.0013664
66,276.468,0.62509,0.45299,0.85918,0.96775,0.98289,0.99083,0.75939,0.88961,0.63088,0.89467,0.0013565,0.0013565,0.0013565
67,281.373,0.64008,0.46608,0.88123,0.98388,0.99138,0.9943,0.77705,0.82543,0.53974,0.8894,0.0013466,0.0013466,0.0013466
68,286.396,0.62588,0.45631,0.86428,0.97952,0.98973,0.99458,0.73359,0.92583,0.55516,0.92447,0.0013367,0.0013367,0.0013367
69,289.77,0.6217,0.43859,0.86588,0.99072,0.97586,0.99326,0.74748,0.88876,0.52643,0.93257,0.0013268,0.0013268,0.0013268
70,293.012,0.63085,0.43738,0.85822,0.96503,0.97069,0.98642,0.7236,0.97223,0.57011,0.93208,0.0013169,0.0013169,0.0013169
71,296.964,0.6235,0.43605,0.86471,0.9527,0.96552,0.98977,0.72746,0.95081,0.57905,0.92382,0.001307,0.001307,0.001307
72,302.153,0.62804,0.44354,0.86218,0.96749,0.92366,0.98659,0.65447,1.17955,0.59422,0.97164,0.0012971,0.0012971,0.0012971
73,305.922,0.63462,0.43712,0.86177,0.97629,0.86552,0.96913,0.68299,1.0206,0.65052,0.97479,0.0012872,0.0012872,0.0012872
74,309.196,0.65187,0.44562,0.85832,0.96434,0.88103,0.97672,0.69287,0.99804,0.60695,0.92123,0.0012773,0.0012773,0.0012773
