epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,905.254,1.83828,1.38566,1.22376,0.60237,0.6383,0.58116,0.23731,1.71919,1.38865,1.16932,0.0015941,0.0015941,0.0015941
43,925.634,1.85066,1.38557,1.22179,0.47757,0.64185,0.4938,0.19144,1.70243,1.48658,1.17396,0.0015842,0.0015842,0.0015842
44,945.703,1.81721,1.41893,1.22807,0.51,0.61702,0.51916,0.22469,1.61226,1.34696,1.15537,0.0015743,0.0015743,0.0015743
45,966.377,1.85631,1.4173,1.23578,0.50184,0.6117,0.54013,0.22676,1.61561,1.36167,1.14702,0.0015644,0.0015644,0.0015644
46,988.367,1.78985,1.40671,1.19563,0.54781,0.67017,0.55436,0.22893,1.61467,1.39295,1.13231,0.0015545,0.0015545,0.0015545
47,1009.05,1.79368,1.39261,1.2,0.56095,0.6383,0.57191,0.23786,1.62444,1.37596,1.1457,0.0015446,0.0015446,0.0015446
48,1029.31,1.78592,1.36525,1.20069,0.54734,0.63298,0.54002,0.22067,1.65145,1.40075,1.14187,0.0015347,0.0015347,0.0015347
49,1050.03,1.77359,1.35483,1.20364,0.56664,0.6383,0.56932,0.23739,1.63472,1.38248,1.16323,0.0015248,0.0015248,0.0015248
50,1070.44,1.79585,1.34072,1.19215,0.6418,0.67021,0.63097,0.2604,1.56561,1.31597,1.12466,0.0015149,0.0015149,0.0015149
51,1092.51,1.76801,1.35036,1.18004,0.61478,0.66489,0.60638,0.25565,1.54711,1.32051,1.11989,0.001505,0.001505,0.001505
52,1113.82,1.77703,1.3385,1.18462,0.57374,0.60638,0.55972,0.23161,1.72957,1.39664,1.16879,0.0014951,0.0014951,0.0014951
53,1134.49,1.75784,1.35311,1.18747,0.56207,0.68085,0.57056,0.22845,1.64413,1.36286,1.16197,0.0014852,0.0014852,0.0014852
54,1155,1.77771,1.34161,1.18487,0.60375,0.65648,0.59774,0.24904,1.58366,1.36343,1.11395,0.0014753,0.0014753,0.0014753
55,1175.63,1.76439,1.35357,1.18915,0.58722,0.62766,0.58197,0.23249,1.5919,1.38405,1.14541,0.0014654,0.0014654,0.0014654
56,1197.36,1.79646,1.34523,1.19829,0.5762,0.62766,0.55333,0.23613,1.62502,1.35762,1.14123,0.0014555,0.0014555,0.0014555
57,1219.35,1.77623,1.34134,1.18585,0.5406,0.57447,0.49589,0.20923,1.76425,1.399,1.19365,0.0014456,0.0014456,0.0014456
58,1239.85,1.78664,1.3576,1.183,0.51568,0.59574,0.51769,0.19913,1.64608,1.42406,1.14832,0.0014357,0.0014357,0.0014357
59,1259.95,1.72382,1.32737,1.17121,0.59579,0.61938,0.60267,0.23714,1.62456,1.34731,1.14044,0.0014258,0.0014258,0.0014258
60,1280.19,1.77896,1.33386,1.17785,0.55299,0.60539,0.56735,0.22751,1.63714,1.33746,1.13556,0.0014159,0.0014159,0.0014159
61,1301.5,1.74747,1.32209,1.17493,0.55754,0.65686,0.55214,0.23384,1.58487,1.31413,1.12733,0.001406,0.001406,0.001406
62,1323.31,1.75974,1.31733,1.1865,0.65988,0.68617,0.63413,0.26731,1.61739,1.34446,1.14922,0.0013961,0.0013961,0.0013961
63,1343.85,1.77174,1.3241,1.18755,0.51962,0.62766,0.50319,0.18683,1.72689,1.48462,1.20092,0.0013862,0.0013862,0.0013862
64,1364.57,1.73679,1.31372,1.17936,0.59002,0.6117,0.57948,0.24678,1.58955,1.35129,1.1399,0.0013763,0.0013763,0.0013763
65,1384.48,1.72603,1.32619,1.17209,0.38164,0.60106,0.4057,0.1649,1.71815,1.55936,1.18024,0.0013664,0.0013664,0.0013664
66,1405.64,1.74629,1.30647,1.14957,0.59104,0.63805,0.56335,0.22906,1.66556,1.41079,1.16587,0.0013565,0.0013565,0.0013565
67,1428.06,1.73976,1.27946,1.16591,0.57152,0.62234,0.52569,0.22797,1.61609,1.34596,1.14856,0.0013466,0.0013466,0.0013466
68,1449.18,1.75875,1.29012,1.17025,0.61806,0.64894,0.56467,0.22528,1.69338,1.4121,1.17404,0.0013367,0.0013367,0.0013367
69,1469.26,1.72081,1.29237,1.15734,0.59399,0.61702,0.56987,0.2239,1.65133,1.37303,1.14768,0.0013268,0.0013268,0.0013268
70,1489.82,1.73628,1.30539,1.17193,0.55902,0.64058,0.56885,0.24091,1.6637,1.39774,1.15705,0.0013169,0.0013169,0.0013169
71,1510.79,1.72515,1.3241,1.18438,0.50832,0.62141,0.47338,0.19321,1.68162,1.39828,1.17422,0.001307,0.001307,0.001307
72,1532.63,1.73988,1.28604,1.16678,0.62056,0.63506,0.59515,0.25001,1.62038,1.33804,1.14059,0.0012971,0.0012971,0.0012971
73,1553.38,1.72359,1.27474,1.1598,0.59674,0.65957,0.59747,0.24512,1.61795,1.3956,1.15031,0.0012872,0.0012872,0.0012872
74,1573.58,1.72373,1.28816,1.16138,0.6139,0.56915,0.55285,0.20144,1.74278,1.48758,1.17501,0.0012773,0.0012773,0.0012773
75,1593.73,1.71838,1.29583,1.15279,0.58848,0.59574,0.5668,0.21922,1.68483,1.47311,1.16804,0.0012674,0.0012674,0.0012674
76,1614.47,1.70857,1.28239,1.13878,0.52864,0.59043,0.50508,0.20491,1.69621,1.45007,1.16635,0.0012575,0.0012575,0.0012575
77,1636.53,1.69473,1.24047,1.15295,0.6718,0.68595,0.66231,0.27939,1.63056,1.32253,1.13994,0.0012476,0.0012476,0.0012476
78,1658,1.70336,1.29026,1.15168,0.66124,0.68617,0.64147,0.26684,1.55152,1.34075,1.11262,0.0012377,0.0012377,0.0012377
79,1678.47,1.6925,1.24679,1.13485,0.64553,0.65957,0.63464,0.26123,1.60371,1.35049,1.14453,0.0012278,0.0012278,0.0012278
80,1698.89,1.69499,1.25624,1.15072,0.6865,0.69681,0.67134,0.27458,1.595,1.29446,1.12264,0.0012179,0.0012179,0.0012179
81,1719.02,1.7055,1.29503,1.16015,0.63051,0.61721,0.59523,0.25096,1.57831,1.32667,1.12275,0.001208,0.001208,0.001208
82,1739.9,1.68803,1.27018,1.14448,0.66788,0.63298,0.63518,0.27498,1.53554,1.3,1.10907,0.0011981,0.0011981,0.0011981
83,1762.3,1.69871,1.25345,1.15798,0.66528,0.62234,0.64874,0.26307,1.60357,1.38255,1.14275,0.0011882,0.0011882,0.0011882
84,1782.91,1.69819,1.23924,1.14285,0.64434,0.64894,0.62313,0.25617,1.60791,1.3338,1.14116,0.0011783,0.0011783,0.0011783
85,1802.58,1.70866,1.26186,1.15923,0.63858,0.59574,0.54923,0.22687,1.60792,1.37914,1.14677,0.0011684,0.0011684,0.0011684
86,1822.96,1.65251,1.21874,1.13203,0.55037,0.56915,0.51932,0.19356,1.78979,1.55741,1.21622,0.0011585,0.0011585,0.0011585
87,1842.95,1.67665,1.23336,1.15331,0.6877,0.62766,0.61418,0.24101,1.6736,1.391,1.17893,0.0011486,0.0011486,0.0011486
88,1864.75,1.66887,1.22,1.13398,0.67774,0.59043,0.61514,0.24907,1.59616,1.31064,1.12474,0.0011387,0.0011387,0.0011387
89,1886.22,1.68959,1.23589,1.13918,0.62469,0.60106,0.58145,0.23726,1.62155,1.32802,1.13918,0.0011288,0.0011288,0.0011288
90,1906.76,1.65814,1.19888,1.12086,0.67027,0.60551,0.61732,0.25559,1.60778,1.30713,1.13583,0.0011189,0.0011189,0.0011189
91,1927.07,1.65885,1.20523,1.12603,0.59011,0.62028,0.55411,0.22194,1.69002,1.44307,1.15703,0.001109,0.001109,0.001109
