epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,808.993,1.86456,1.44348,1.2624,0.50722,0.57447,0.52515,0.22698,1.68747,1.41193,1.1943,0.0015941,0.0015941,0.0015941
43,828.908,1.86354,1.45717,1.24845,0.54764,0.59043,0.55734,0.24081,1.61987,1.44523,1.17494,0.0015842,0.0015842,0.0015842
44,848.719,1.83001,1.46943,1.25054,0.48459,0.63298,0.49257,0.19617,1.68009,1.48878,1.19047,0.0015743,0.0015743,0.0015743
45,867.246,1.85843,1.47834,1.25334,0.47228,0.63298,0.5196,0.21211,1.57846,1.38964,1.15217,0.0015644,0.0015644,0.0015644
46,885.718,1.82903,1.46367,1.24307,0.57268,0.60106,0.595,0.25443,1.54352,1.36817,1.13332,0.0015545,0.0015545,0.0015545
47,904.542,1.83486,1.46631,1.24218,0.48978,0.64847,0.56423,0.22954,1.58872,1.41367,1.1581,0.0015446,0.0015446,0.0015446
48,923.085,1.84227,1.47488,1.25122,0.49712,0.61521,0.52578,0.23286,1.59212,1.41384,1.14717,0.0015347,0.0015347,0.0015347
49,941.886,1.82361,1.43475,1.24437,0.52162,0.70213,0.59977,0.24998,1.61769,1.36437,1.15686,0.0015248,0.0015248,0.0015248
50,960.566,1.83948,1.42065,1.23953,0.60759,0.54358,0.60669,0.25899,1.6275,1.40638,1.15832,0.0015149,0.0015149,0.0015149
51,980.008,1.80029,1.42684,1.21582,0.5738,0.63737,0.6045,0.25697,1.57217,1.33793,1.1328,0.001505,0.001505,0.001505
52,1000.64,1.80177,1.39867,1.22192,0.54185,0.57878,0.54138,0.2397,1.64798,1.38789,1.17454,0.0014951,0.0014951,0.0014951
53,1019.66,1.8176,1.41289,1.22969,0.49047,0.64002,0.49312,0.2299,1.56943,1.3493,1.15038,0.0014852,0.0014852,0.0014852
54,1038.56,1.81566,1.40414,1.2318,0.49952,0.58511,0.54197,0.25073,1.57413,1.33945,1.14936,0.0014753,0.0014753,0.0014753
55,1057.35,1.81703,1.41186,1.23418,0.57966,0.59043,0.56898,0.25059,1.56398,1.3556,1.13062,0.0014654,0.0014654,0.0014654
56,1075.53,1.81248,1.42506,1.23068,0.52763,0.68085,0.56343,0.24224,1.54217,1.34475,1.11853,0.0014555,0.0014555,0.0014555
57,1093.88,1.79871,1.38979,1.21553,0.58442,0.66573,0.60857,0.26367,1.52525,1.29287,1.11293,0.0014456,0.0014456,0.0014456
58,1112.77,1.8301,1.42892,1.22857,0.45238,0.60106,0.44881,0.17669,1.68269,1.53003,1.18713,0.0014357,0.0014357,0.0014357
59,1132.83,1.75005,1.40197,1.20626,0.49275,0.60106,0.53307,0.22771,1.609,1.40755,1.1507,0.0014258,0.0014258,0.0014258
60,1152.73,1.81659,1.41712,1.20987,0.59152,0.64362,0.58236,0.24049,1.5834,1.37289,1.13102,0.0014159,0.0014159,0.0014159
61,1171.73,1.79582,1.3919,1.21665,0.58681,0.61945,0.60296,0.26623,1.56212,1.32516,1.13453,0.001406,0.001406,0.001406
62,1190.76,1.77655,1.39286,1.21818,0.56517,0.63606,0.58003,0.24784,1.56894,1.34875,1.12936,0.0013961,0.0013961,0.0013961
63,1209.26,1.80596,1.3881,1.20921,0.49706,0.6383,0.5185,0.20496,1.6775,1.48233,1.19943,0.0013862,0.0013862,0.0013862
64,1227.78,1.7865,1.39414,1.21079,0.48916,0.59085,0.49262,0.21961,1.57908,1.41936,1.1521,0.0013763,0.0013763,0.0013763
65,1246.68,1.76915,1.40943,1.20668,0.44169,0.6383,0.50547,0.20213,1.63234,1.4615,1.13972,0.0013664,0.0013664,0.0013664
66,1265.04,1.77589,1.37089,1.18623,0.5369,0.53191,0.5023,0.22425,1.65952,1.40045,1.18576,0.0013565,0.0013565,0.0013565
67,1283.78,1.77896,1.36897,1.20317,0.59296,0.63541,0.6056,0.25684,1.58499,1.34916,1.13165,0.0013466,0.0013466,0.0013466
68,1303.65,1.78795,1.37576,1.19625,0.5971,0.57979,0.61401,0.25105,1.66143,1.42811,1.16883,0.0013367,0.0013367,0.0013367
69,1322.94,1.76394,1.36966,1.19178,0.59467,0.67553,0.66626,0.29187,1.54801,1.29033,1.11047,0.0013268,0.0013268,0.0013268
70,1341.45,1.7653,1.39514,1.19406,0.62421,0.63298,0.65906,0.28105,1.59028,1.33149,1.14603,0.0013169,0.0013169,0.0013169
71,1360.25,1.75239,1.41625,1.20414,0.38757,0.49147,0.33719,0.14436,1.8511,1.62814,1.25239,0.001307,0.001307,0.001307
72,1378.81,1.76954,1.37028,1.19283,0.53246,0.58511,0.59763,0.27581,1.56104,1.33631,1.12225,0.0012971,0.0012971,0.0012971
73,1397.04,1.77294,1.35829,1.19405,0.56863,0.57979,0.55704,0.22853,1.62029,1.4052,1.15384,0.0012872,0.0012872,0.0012872
74,1415.73,1.76453,1.37086,1.19795,0.6015,0.60638,0.59641,0.24862,1.59005,1.34036,1.14307,0.0012773,0.0012773,0.0012773
75,1434.69,1.76099,1.35401,1.18367,0.5578,0.57447,0.57651,0.23925,1.6281,1.4429,1.17776,0.0012674,0.0012674,0.0012674
76,1454.44,1.75181,1.35052,1.17622,0.58014,0.58062,0.5815,0.2504,1.6166,1.41249,1.15842,0.0012575,0.0012575,0.0012575
